objectid,borough,maintainer,gla_tree_name,tree_name,taxon_name,common_name,age,age_group,height_m,spread_m,canopy_spread_group,diameter_at_breast_height_cm,dbh_group,longitude,latitude,condition,load_date,updated
800001,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15178402,51.60268122,,20180214,20210715
800002,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15174049,51.60257982,,20180214,20210715
800003,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.1517823,51.60258138,,20180214,20210715
800004,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16115182,51.61700478,,20180214,20210715
800005,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16250185,51.620452,,20180214,20210715
800006,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16044492,51.61980471,,20180214,20210715
800007,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.153782,51.61615174,,20180214,20210715
800008,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15386256,51.61619527,,20180214,20210715
800009,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15393202,51.61622784,,20180214,20210715
800010,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15535017,51.61641379,,20180214,20210715
800011,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15433664,51.61650847,,20180214,20210715
800012,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15479646,51.61667486,,20180214,20210715
800013,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15485241,51.61664876,,20180214,20210715
800014,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15489818,51.6166243,,20180214,20210715
800015,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.14998628,51.60509523,,20180214,20210715
800016,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15747405,51.61340503,,20180214,20210715
800017,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16287084,51.63667453,,20180214,20210715
800018,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17261787,51.64897521,,20180214,20210715
800019,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17249891,51.6486982,,20180214,20210715
800020,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17244149,51.6485804,,20180214,20210715
800021,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17241755,51.64856474,,20180214,20210715
800022,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17237699,51.64849487,,20180214,20210715
800023,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17235327,51.64847382,,20180214,20210715
800024,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.1723918,51.64848611,,20180214,20210715
800025,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16457993,51.64477544,,20180214,20210715
800026,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16133348,51.64206383,,20180214,20210715
800027,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15769789,51.64914134,,20180214,20210715
800028,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.1652585,51.64633362,,20180214,20210715
800029,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.15326264,51.64257113,,20180214,20210715
800030,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17444699,51.655006,,20180214,20210715
800031,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.14996206,51.6437664,,20180214,20210715
800032,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16263186,51.6489156,,20180214,20210715
800033,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16823632,51.64933947,,20180214,20210715
800034,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16872373,51.64312711,,20180214,20210715
800035,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17535231,51.59139856,,20180214,20210715
800036,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17343314,51.59004414,,20180214,20210715
800037,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17387369,51.58942602,,20180214,20210715
800038,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17405481,51.5891213,,20180214,20210715
800039,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17414764,51.58896628,,20180214,20210715
800040,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16741299,51.59051591,,20180214,20210715
800041,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16841949,51.5904372,,20180214,20210715
800042,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16088161,51.58859369,,20180214,20210715
800043,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16426852,51.61916496,,20180214,20210715
800044,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17949395,51.62332,,20180214,20210715
800045,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.1795429,51.62336033,,20180214,20210715
800046,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.26816161,51.63077613,,20180214,20210715
800047,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2729128,51.6290171,,20180214,20210715
800048,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2728101,51.62902008,,20180214,20210715
800049,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.28937868,51.62043951,,20180214,20210715
800050,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.28204046,51.61943944,,20180214,20210715
800051,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2867763,51.62191585,,20180214,20210715
800052,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.28698956,51.62189199,,20180214,20210715
800053,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.28779997,51.62158549,,20180214,20210715
800054,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.28648876,51.62099715,,20180214,20210715
800055,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.29079276,51.62075146,,20180214,20210715
800056,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.20046706,51.60139011,,20180214,20210715
800057,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.19865492,51.59784902,,20180214,20210715
800058,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.19687725,51.59989715,,20180214,20210715
800059,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.20886722,51.59282572,,20180214,20210715
800060,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.19837556,51.59958115,,20180214,20210715
800061,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2076602,51.59810917,,20180214,20210715
800062,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.20774921,51.59808535,,20180214,20210715
800063,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2077103,51.59804698,,20180214,20210715
800064,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17785596,51.58655551,,20180214,20210715
800065,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.1777967,51.58644938,,20180214,20210715
800066,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.19613429,51.5816214,,20180214,20210715
800067,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17432473,51.57244735,,20180214,20210715
800068,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18257946,51.57949331,,20180214,20210715
800069,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18266264,51.57947032,,20180214,20210715
800070,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18280935,51.57941054,,20180214,20210715
800071,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18293086,51.57936746,,20180214,20210715
800072,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18541206,51.582769,,20180214,20210715
800073,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18480141,51.5817569,,20180214,20210715
800074,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.18564147,51.58284358,,20180214,20210715
800075,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16851353,51.58537057,,20180214,20210715
800076,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16858689,51.58534114,,20180214,20210715
800077,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16867824,51.58536685,,20180214,20210715
800078,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16908252,51.58532819,,20180214,20210715
800079,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16904804,51.58536003,,20180214,20210715
800080,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.16914506,51.58535255,,20180214,20210715
800081,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.17479749,51.57671259,,20180214,20210715
800082,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.20340144,51.57858736,,20180214,20210715
800083,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.20484359,51.58634373,,20180214,20210715
800084,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.21655697,51.57142868,,20180214,20210715
800085,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.21649323,51.57139804,,20180214,20210715
800086,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.21624563,51.57123511,,20180214,20210715
800087,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.21626308,51.57119491,,20180214,20210715
800088,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.21698133,51.57227412,,20180214,20210715
800089,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2208254,51.57383238,,20180214,20210715
800090,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.25972292,51.62625686,,20180214,20210715
800091,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.25328736,51.62172003,,20180214,20210715
800092,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.25867451,51.62062118,,20180214,20210715
800093,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.25699087,51.62022482,,20180214,20210715
800094,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.23026478,51.58549785,,20180214,20210715
800095,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.21912368,51.58827611,,20180214,20210715
800096,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.22718495,51.5891553,,20180214,20210715
800097,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.22161705,51.58715841,,20180214,20210715
800098,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.22169442,51.5871362,,20180214,20210715
800099,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.2233707,51.58642422,,20180214,20210715
800100,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.22536034,51.59041273,,20180214,20210715
800101,Barnet,Barnet,Birch,Birch,,Silver birch,,,,,,,,-0.22280162,51.5860631,,20180214,20210715
